id,source,sentence_1,sentence_2,label,binary-label
boostcamp-sts-v1-train-000,nsmc-sampled,스릴도있고 반전도 있고 여느 한국영화 쓰레기들하고는 차원이 다르네요~,"반전도 있고,사랑도 있고재미도있네요.",2.2,0.0
boostcamp-sts-v1-train-001,slack-rtt,앗 제가 접근권한이 없다고 뜹니다;;,"오, 액세스 권한이 없다고 합니다.",4.2,1.0
boostcamp-sts-v1-train-002,petition-sampled,주택청약조건 변경해주세요.,주택청약 무주택기준 변경해주세요.,2.4,0.0
boostcamp-sts-v1-train-003,slack-sampled,입사후 처음 대면으로 만나 반가웠습니다.,화상으로만 보다가 리얼로 만나니 정말 반가웠습니다.,3.0,1.0
boostcamp-sts-v1-train-004,slack-sampled,뿌듯뿌듯 하네요!!,꼬옥 실제로 한번 뵈어요 뿌뿌뿌~!~!,0.0,0.0
boostcamp-sts-v1-train-005,nsmc-rtt,오마이가뜨지져스크롸이스트휏,오 마이 갓 지저스 스크론 이스트 팬,2.6,1.0
boostcamp-sts-v1-train-006,slack-rtt,전 암만 찍어도 까만 하늘.. ㅠㅠ,암만 찍어도 하늘은 까맣다.. ㅠㅠ,3.6,1.0
boostcamp-sts-v1-train-007,nsmc-sampled,이렇게 귀여운 쥐들은 처음이네요.ㅎㅎㅎ,이렇게 지겨운 공포영화는 처음..,0.6,0.0
boostcamp-sts-v1-train-008,petition-sampled,미세먼지 해결이 가장 시급한 문제입니다!,가장 시급한 것이 신생아실 관리입니다!!!,0.4,0.0
boostcamp-sts-v1-train-009,petition-sampled,크림하우스 환불조치해주세요.,크림하우스 환불조치할 수 있도록해주세여,4.2,1.0
boostcamp-sts-v1-train-010,slack-rtt,그 책부터 언능 꺼내봐야 겠어요!,책에서 꺼내야겠어요!,2.4,0.0
boostcamp-sts-v1-train-011,nsmc-sampled,극의전개가너무느릿하여답답합니다,전개가 너무 느려서 속터진다,3.8,1.0
boostcamp-sts-v1-train-012,nsmc-rtt,오랫만에 존쿠삭의 연기보니 좋네요 Good~~!!,오랜만에 존 쿠삭의 연기를 보니 반갑다. 좋아요~~!!,3.8,1.0
boostcamp-sts-v1-train-013,nsmc-sampled,글쎄.. 특색도 없고 별로였던 걸로 기억하는데..,큰 반전 없던걸로 기억하는데...,1.8,0.0
boostcamp-sts-v1-train-014,slack-sampled,아래는 게임 내에서 함께 팀을 맺고 캡쳐한 이미지입니다.,여러분들간의 다양한 아이디어를 제안하고 나누는 채널입니다.,0.0,0.0
boostcamp-sts-v1-train-015,petition-sampled,LG전자 스마트폰 생산 중단 청원,LG전자서비스의 노조 와해를 조사해주세요.,0.4,0.0
boostcamp-sts-v1-train-016,slack-sampled,환갑이면? ㅎㅎㅎ 이런 재미난 얘기하느라 시간이 금방 가더라고요.,넘넘 즐거운 이야기를 하고나니 시간이 금방 가버렸네요.,3.0,1.0
boostcamp-sts-v1-train-017,petition-rtt,최종구 금융위원장을 파면하라!,최종구 금융위원장 해고!,3.8,1.0
boostcamp-sts-v1-train-018,petition-rtt,정말 간절히 정부의 도움이 필요합니다.,정부의 도움이 절실히 필요합니다.,4.0,1.0
boostcamp-sts-v1-train-019,petition-sampled,내년 러시아월드컵 자진포기 청원드립니다.,2023 아시안컵 유치에 공동개최를 반대 합니다.,0.0,0.0
boostcamp-sts-v1-train-020,slack-sampled,앞머리 새로 하셨습니다. ^^,가방에 넣어 다니면서 조금씩 먹습니다. ^^,0.0,0.0
boostcamp-sts-v1-train-021,petition-rtt,김기덕 조재현 성폭행 철저히 수사해주세요!,김기덕·조재현 성폭행 의혹 철저히 수사하라!,4.2,1.0
boostcamp-sts-v1-train-022,slack-sampled,답답할 때 보면 속이 뻥 뚫릴 것 같아요,양보단 한입 먹는 순간 고삐 풀릴 것 같아요 ㅋㅋㅋ,0.0,0.0
boostcamp-sts-v1-train-023,nsmc-sampled,노래와 잘 어우러지는 영상 덕분인지 짧지만 강한 인상이 남네요..,조금유치하지만 가볍게 볼수는 있는영화네요!,0.0,0.0
boostcamp-sts-v1-train-024,nsmc-rtt,군대가기전에 봤었는데 진짜 윈터스같은 사람이 상관이면 목숨걸고 싸워도 후회는 없지 않을까? 라고 생각했던게 기억이 나네요 ㅎㅎ,입대하기 전에 봤는데 윈터스 같은 사람이 진심으로 아껴준다면 목숨을 걸고 싸워도 후회는 없겠죠? 라고 생각했던 기억이 나네요 ㅎㅎ,4.2,1.0
boostcamp-sts-v1-train-025,petition-rtt,국민청원에 올린글 삭제하는 청와대뉴미디어정책실은 억울한 피해자를 죽이고 경찰에게 증거제출하고 악플러를 살려주기위해 은폐하고있습니다.,"국민청원 글을 삭제하는 청와대 뉴미디어정책실은 부당한 피해자를 살해하고, 경찰에 증거를 제출하고, 악플러를 구출하기 위해 이를 은폐하고 있다.",4.0,1.0
boostcamp-sts-v1-train-026,petition-sampled,전두환을 처벌해주세요,이재용을 구속해주세요,0.2,0.0
boostcamp-sts-v1-train-027,slack-rtt,"마지막으로 리모트 근무의 장점에 대해 이야기했는데, 시간을 효율적으로 사용할 수 있다는 점에 감사하며 다시 한번 리모트 근무의 장점을 느낄 수 있었습니다 ㅎㅎ","마지막으로 재택근무의 장점에 대해 이야기를 나누었고, 시간을 효율적으로 사용할 수 있어 감사했고 재택근무의 장점을 다시 한 번 느낄 수 있었습니다.",4.2,1.0
boostcamp-sts-v1-train-028,slack-rtt,겨울산이 예쁘지만 산을 잘 못타서 대리만족 중입니당,겨울산은 예쁜데 제가 등산을 잘 못해서 대만족입니다.,3.2,1.0
boostcamp-sts-v1-train-029,nsmc-rtt,한사람의 파멸을 적나라하게 드러내 준 영화,한 사람의 파멸을 드러내는 영화,3.6,1.0
boostcamp-sts-v1-train-030,petition-rtt,금융워원회의 공모주 개인 배정 축소(폐지)를 막아주세요,금융감독원의 공모주 개인배분 축소(폐지)를 막아주세요.,4.4,1.0
boostcamp-sts-v1-train-031,slack-rtt,지금 아주 만족해요.,지금은 매우 만족합니다.,4.4,1.0
boostcamp-sts-v1-train-032,slack-sampled,저도 너무 좋아하는 노래ㅎㅎㅎ,오! 저도 좋아하는 노래 ㅎㅎ,4.0,1.0
boostcamp-sts-v1-train-033,nsmc-sampled,잘 만든 영화군요.,잘 만든 영화라고 생각한다.,3.6,1.0
boostcamp-sts-v1-train-034,nsmc-rtt,전설따라 삼천리(삼만리인가?)에 의하면 이 영화가 꽤 괜찮다고 할뿐 아니라 내가 좋아하는 장학우에 장만옥까지~....,전설에 따르면 삼천리(삼천리?)에 따르면 이 영화는 꽤 괜찮을 뿐만 아니라 내가 제일 좋아하는 장학우와 장만옥도~...,4.0,1.0
boostcamp-sts-v1-train-035,slack-sampled,또 먹어 보고 싶네요.,얼마나 드시고 싶었으면…,1.2,0.0
boostcamp-sts-v1-train-036,petition-rtt,보험이 재산압류를 해서는 안 될 일입니다.,보험은 재산을 몰수해서는 안됩니다.,3.4,1.0
boostcamp-sts-v1-train-037,petition-rtt,엑소엘 전광판사건 공론화,엑소엘 빌보드 사건 공개,0.8,0.0
boostcamp-sts-v1-train-038,nsmc-sampled,아무리그래도 걸어간다는 설정은쫌-_-;,허나 알리슨 로먼이 벗은건 충격 -_-;;,0.0,0.0
boostcamp-sts-v1-train-039,petition-sampled,휴교령을 내려주세요,대구광역시 휴교령 내려주십시요,2.8,1.0
boostcamp-sts-v1-train-040,nsmc-sampled,이런 명작을 왜 이제봤을까..,왜 이런 명작을 이제야 본걸까,4.2,1.0
boostcamp-sts-v1-train-041,petition-sampled,나이가 문제인가요?,저는 무엇인가요??,0.0,0.0
boostcamp-sts-v1-train-042,petition-sampled,소년법을 폐지해주시기 바랍니다,청소년 보호법 폐지해주시기 바랍니다.,3.8,1.0
boostcamp-sts-v1-train-043,petition-rtt,의료계 환경 개선 및 경찰소방공무원 지원해주세요,의료환경 개선과 경찰·소방관 지원 부탁드립니다.,4.4,1.0
boostcamp-sts-v1-train-044,petition-sampled,공무원이 수당을 부정수령하지 않도록 해주세요,최저임금 인상에 따른 정부지원금 부정수급을 적발하여 처벌해 주십시요,0.8,0.0
boostcamp-sts-v1-train-045,slack-rtt,낮 산책 무조건 추천~!,낮 산책은 꼭 추천합니다!,4.0,1.0
boostcamp-sts-v1-train-046,slack-sampled,저는 왜 솥에 들어가계시나 했어요 ㅋㅋ,저는 사과나 우유에 프로틴타서 먹어요 ㅎㅎ,0.0,0.0
boostcamp-sts-v1-train-047,nsmc-sampled,동생이랑같이봤는데살인데 그닥무서워하지않고 잘본것같음....,내용도 그렇고 별로 맘에들지않는다.......,0.0,0.0
boostcamp-sts-v1-train-048,petition-sampled,알콜중독자가 기초생활수급자?,기초생활수급자 장애인을 위하여.,1.0,0.0
boostcamp-sts-v1-train-049,petition-sampled,"구의원,시의원 선거.이제 그만 둡시다","국회의원,도의원,시의원 들 3선이상 출마금지",0.8,0.0
boostcamp-sts-v1-train-050,petition-rtt,아이스하키 단일팀을 이루는 것에 반대합니다.,나는 단일 아이스하키 팀을 구성하는 것에 반대합니다.,4.0,1.0
boostcamp-sts-v1-train-051,nsmc-sampled,우리 아이들이 안 봤으면 좋겠어요.,아이들이랑 보기 좋을거 같아요.,0.6,0.0
boostcamp-sts-v1-train-052,slack-sampled,같이 이야기를 하다보니 시간가는 지 모르고 이야기를 했네요,야옹이얘기와 더불어 재밌는 이야기를 하다보니 시간 가는 줄 몰랐네요.,3.0,1.0
